file_name,flight_time(seconds),altitude(m),zSpeed_avg,zSpeed_sd,speed_avg,speed_sd,power_avg,power_sd,power_intensity,tilt_avg,tilt_sd,turbulence_intensity
Jan07.3-38_30m,29.0,30,0.0,0.0,0.0,0.0,35.100207261168386,1.3794221688711341,0.039243642537352214,7.729757600689011,0.5542519141734467,0.07124282562792954
Jan07.3-38_50m,28.0,50,0.0,0.0,0.0,0.0,34.50063863571429,0.6543509994240533,0.018938897376781456,8.241070817988234,0.23759922592559016,0.028657242368512515
Jan07.3-41_10m,28.0,10,-0.0007960640569395018,0.013344465262910497,0.023881921708185053,0.0692021596288284,35.01287414234875,1.4823363243751138,0.04227652069699432,5.9089817751220535,1.0770587613933866,0.18074543639149257
Jan07.3-41_30m,27.0,30,-0.000834679104477612,0.01366428584291967,0.0,0.0,34.99197074626866,2.0296784887913426,0.057921356749248094,8.77201212221209,0.8279827293807448,0.09385418177969256
Jan07.3-41_50m,29.0,50,0.0,0.0,0.0,0.0,34.44510427112675,1.2210049773431286,0.0353964715614772,7.4789854018132536,0.5102371446428611,0.06776970832218342
Jan07.3-44_10m,27.0,10,0.0,0.0,0.003313985185185185,0.027074916589198337,35.587765985185186,0.8530962690127578,0.023937983917605685,4.285838066897747,1.1843148653365205,0.2731455481186564
Jan07.3-44_30m,27.0,30,0.0024672132352941173,0.02340572000259705,0.0,0.0,34.76551263970588,1.6609155412014538,0.047706192305416104,7.540945332021873,0.7981459878403884,0.10514447844505813
Jan07.3-44_50m,26.0,50,0.0,0.0,0.0,0.0,35.08799405813953,1.9707796238340045,0.056086856312091725,7.69773603342333,0.5014914317088989,0.06472748033044634
Jan08.12-27_10m,30.0,10,-0.0030538430034129692,0.026002075596602517,0.005344225255972696,0.03421851325306896,35.52586483959045,1.0916779166905375,0.030685913655587888,6.986237504943044,1.4493837361719226,0.2059884611845056
Jan08.12-27_30m,31.0,30,0.04318143670886078,0.45008279706385634,1.2878686525316456,2.15106826033615,35.90800784810126,4.5271328293583775,0.1259005462283259,9.99859311094954,5.174093253382045,0.514907230918132
Jan08.12-27_50m,28.0,50,-0.00875670462633452,0.05760685915113643,0.04855990747330961,0.10018003141943997,34.57521696797153,5.402879584242286,0.15603886581389434,10.848884437485712,1.2890881548107878,0.11827707342020137
Jan08.12-30_10m,29.0,10,-0.003043455782312926,0.14431236830715358,0.06360822585034015,0.12090020390257625,36.48473152040816,4.741177612749962,0.12977179290619828,10.493714372674932,2.166677397963914,0.20549469772996415
Jan08.12-30_30m,28.0,30,-0.016209710144927534,0.09590730363786996,0.0361476536231884,0.09007843656614518,37.90645142753624,4.995382754072138,0.13160826595207323,10.097905856121686,2.2923462062574704,0.22589352313261962
Jan08.12-30_50m,34.0,50,-0.005172115606936416,0.07207380341931266,0.005818630057803467,0.03565684750526146,35.25103838439307,4.839157925164579,0.13708259435518524,11.424467539309482,1.324707612660815,0.11544828621655887
Jan08.12-33_10m,29.0,10,-0.0007687079037800688,0.022738776053721144,0.013068034364261169,0.0525543397226297,35.628033120274914,2.9354192454119628,0.08227525423041998,9.618818384524632,1.515921103498715,0.1567845255967382
Jan08.12-33_30m,28.0,30,-0.004862913043478261,0.03268067023869909,0.0016209710144927537,0.01900744431118484,35.18325832608696,2.37042207549797,0.06727796939923926,9.791858045830102,0.9304669772777132,0.09454180023170958
Jan08.12-33_50m,27.0,50,0.008224044117647059,0.08111327575825186,0.05115355441176471,0.10317943919081767,40.68019768014705,8.036062796299259,0.19729987218344003,16.641679334480354,2.664102230694758,0.15960660262574455
Jan08.12-36_10m,27.0,10,-0.01130583393501805,0.06213156514648599,0.029395168231046934,0.0796323489439764,36.93555050902527,3.375294835680844,0.09125982415368401,8.53746595039245,1.4920247105855375,0.1737444688811082
Jan08.12-36_30m,26.0,30,-0.005931280303030303,0.05309069440158797,0.03796019393939394,0.08758377631082051,40.78278501515151,5.504257128268595,0.134799943874173,15.321276878572494,1.7901476773541039,0.11646057067969176
Jan08.12-36_50m,27.0,50,0.0008441283018867922,0.053314257648159974,0.018570822641509433,0.06183635933927425,35.80370187169812,5.108795092346418,0.14249003103300625,13.268887463844088,1.2012237290002823,0.09018949460014326
Jan08.12-39_10m,36.0,10,-0.015534305555555555,0.06601286935208764,0.04486307444444445,0.09311119824507803,34.69962538055555,4.9156750538115235,0.14145979992527147,8.758854645348258,2.395514325127011,0.27194390435219906
Jan08.12-39_30m,26.0,30,0.004285325670498084,0.06639346936794885,0.02416923678160919,0.07186263110106579,34.626700754789276,3.4293219330238225,0.098894123673233,11.342222063484689,1.7925955086012313,0.1573525778036762
Jan08.12-39_50m,28.0,50,0.006323505300353356,0.052905236056501256,0.01659920141342756,0.06168212819339473,38.64802726855124,4.733008611814407,0.1223061986847269,13.021503129850213,1.77992062509513,0.13616801429902012
Jan09.12-36_10m,28.0,10,-0.0007848912280701755,0.013250488986144239,0.016482715789473683,0.058544263416003973,37.23143377894736,1.2114180952132134,0.032493870874067486,3.530589896922872,1.150973974001914,0.3214481432210517
Jan09.12-36_30m,25.0,30,-0.0035934779116465858,0.056704124998729025,0.008983694779116464,0.04400760886193632,42.83590804016063,2.497342147832458,0.05823223203047992,12.664129409764868,1.4600137356973888,0.11483395273419589
Jan09.12-36_50m,25.0,50,0.0200975078125,0.06409234194987375,0.02446653125,0.06995370186136558,37.93172724218749,1.7727303787301525,0.04667324283138776,9.08947980410506,1.089895415087187,0.11925136205209981
Jan09.12-39_10m,24.0,10,0.0,0.0,0.016301587044534414,0.05826292702178503,36.7949547651822,1.6886312247596853,0.0458307313856553,2.553171597756995,1.2963123960483016,0.49797423925693585
